,time,type,position,entry,sl,tp,exit_price,exit_time,result,rr_ratio,pnl,pnl_pips,lot_size,atr,balance
114,2024-09-19 16:50:00,SWEEP_bearish,sell,2574.64,2574.8399999999997,2574.24,2574.8399999999997,2024-09-19 16:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,3.987999999999859,9800.000000000182
115,2024-09-20 14:10:00,SWEEP_bullish,buy,2612.01,2611.8100000000004,2612.4100000000003,2611.8100000000004,2024-09-20 14:15:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.8020000000000134,9800.000000000182
116,2024-09-20 15:05:00,SWEEP_bullish,buy,2614.64,2614.44,2615.04,2614.44,2024-09-20 15:10:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.0626666666667006,9800.000000000182
117,2024-09-20 15:25:00,SWEEP_bullish,buy,2617.29,2617.09,2617.69,2617.09,2024-09-20 15:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.9786666666667163,9800.000000000182
118,2024-09-20 16:15:00,SWEEP_bearish,sell,2612.84,2613.04,2612.44,2613.04,2024-09-20 16:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.440666666666675,9800.000000000182
3,2024-09-23 08:50:00,FVG_bearish,sell,2629.27,2629.47,2628.87,2629.47,2024-09-23 08:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.1913333333333866,9800.000000000182
119,2024-09-23 09:25:00,SWEEP_bearish,sell,2628.4,2628.6,2628.0,2628.6,2024-09-23 09:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4806666666666994,9800.000000000182
120,2024-09-23 13:15:00,SWEEP_bullish,buy,2622.8,2622.6000000000004,2623.2000000000003,2622.6000000000004,2024-09-23 13:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.285999999999937,9800.000000000182
121,2024-09-23 14:10:00,SWEEP_bullish,buy,2622.17,2621.9700000000003,2622.57,2622.57,2024-09-23 14:15:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.4000000000000303,10400.000000000091
122,2024-09-23 14:20:00,SWEEP_bullish,buy,2622.07,2621.8700000000003,2622.4700000000003,2622.4700000000003,2024-09-23 14:25:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.4380000000000412,10400.000000000091
123,2024-09-23 14:35:00,SWEEP_bullish,buy,2623.81,2623.61,2624.21,2623.61,2024-09-23 14:40:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5566666666667213,9800.000000000182
124,2024-09-23 15:25:00,SWEEP_bearish,sell,2621.82,2622.02,2621.42,2622.02,2024-09-23 15:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.882666666666743,9800.000000000182
125,2024-09-23 16:15:00,SWEEP_bullish,buy,2627.84,2627.6400000000003,2628.2400000000002,2627.6400000000003,2024-09-23 16:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.028000000000035,9800.000000000182
126,2024-09-23 16:45:00,SWEEP_bullish,buy,2630.25,2630.05,2630.65,2630.05,2024-09-23 16:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.418000000000029,9800.000000000182
127,2024-09-24 08:00:00,SWEEP_bullish,buy,2637.35,2637.15,2637.75,2637.15,2024-09-24 08:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.307333333333342,9800.000000000182
128,2024-09-24 09:00:00,SWEEP_bearish,sell,2627.02,2627.22,2626.62,2627.22,2024-09-24 09:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.2879999999999807,9800.000000000182
129,2024-09-24 10:40:00,SWEEP_bearish,sell,2625.29,2625.49,2624.89,2625.49,2024-09-24 10:45:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.1173333333334083,9800.000000000182
130,2024-09-24 13:10:00,SWEEP_bullish,buy,2631.7,2631.5,2632.1,2631.5,2024-09-24 13:15:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.395333333333292,9800.000000000182
