,trade_id,signal_time,entry_fill_time,exit_time,type,position,entry,sl,tp,exit_price,result,highest_point,lowest_point,rr_ratio,pnl,pnl_points,lot_size,initial_balance_for_trade,balance_after_trade
55,56,2024-12-03 14:15:00+00:00,2024-12-03 14:20:00+00:00,,FVG_bullish,buy,21144.85,21135.98429,21171.44714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
56,57,2024-12-03 20:55:00+00:00,2024-12-03 21:00:00+00:00,,FVG_bearish,sell,21174.68,21187.40643,21136.50071,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
57,58,2024-12-03 20:55:00+00:00,2024-12-03 21:00:00+00:00,,FVG_bearish,sell,21174.68,21187.40643,21136.50071,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
58,59,2024-12-04 02:50:00+00:00,2024-12-04 02:55:00+00:00,,FVG_bearish,sell,21268.46,21274.62643,21249.96071,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
59,60,2024-12-04 05:40:00+00:00,2024-12-04 05:45:00+00:00,,FVG_bearish,sell,21280.86,21286.08429,21265.18714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
60,61,2024-12-04 08:45:00+00:00,2024-12-04 08:50:00+00:00,,FVG_bearish,sell,21291.085,21296.90214,21273.63357,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
61,62,2024-12-04 09:45:00+00:00,2024-12-04 09:50:00+00:00,,FVG_bearish,sell,21295.47,21302.17357,21275.35929,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
62,63,2024-12-04 13:35:00+00:00,2024-12-04 13:40:00+00:00,,FVG_bearish,sell,21366.74,21375.285,21341.105,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
63,64,2024-12-04 15:10:00+00:00,2024-12-04 15:15:00+00:00,,FVG_bearish,sell,21364.96,21372.15857,21343.36429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
64,65,2024-12-04 15:10:00+00:00,2024-12-04 15:15:00+00:00,,FVG_bearish,sell,21364.96,21372.15857,21343.36429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
65,66,2024-12-05 14:40:00+00:00,2024-12-05 14:45:00+00:00,,FVG_bearish,sell,21473.84,21479.78857,21455.99429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
66,67,2024-12-05 16:00:00+00:00,2024-12-05 16:05:00+00:00,,FVG_bearish,sell,21470.195,21478.965,21443.885,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
67,68,2024-12-05 18:40:00+00:00,2024-12-05 18:45:00+00:00,,FVG_bullish,buy,21475.395,21459.68357,21522.52929,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
68,69,2024-12-05 18:40:00+00:00,2024-12-05 18:45:00+00:00,,FVG_bullish,buy,21475.395,21459.68357,21522.52929,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
69,70,2024-12-05 22:30:00+00:00,2024-12-05 22:35:00+00:00,,FVG_bullish,buy,21433.125,21419.70857,21473.37429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
70,71,2024-12-09 13:35:00+00:00,2024-12-09 13:40:00+00:00,,FVG_bullish,buy,21572.0,21559.44071,21609.67786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
71,72,2024-12-10 12:55:00+00:00,2024-12-10 13:00:00+00:00,,FVG_bearish,sell,21451.08,21457.86571,21430.72286,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
