Time,Symbol,Timeframe,Action,Entry Price,Exit Price,PnL,Drawdown,Bias
2025-01-17 09:30:00-05:00,XAUUSD,15min,sell,2709.15,2710.55,-1.4,-5.47,bearish
2025-01-17 12:15:00-05:00,XAUUSD,15min,buy,2710.55,2724.45,13.9,-21.25,bullish
2025-01-21 09:45:00-05:00,XAUUSD,15min,buy,2724.45,2735.02,10.57,0.3,bullish
2025-01-21 12:15:00-05:00,XAUUSD,15min,buy,2735.02,2754.56,19.54,-0.35,bullish
2025-01-22 06:45:00-05:00,XAUUSD,15min,buy,2758.11,2756.71,-1.4,-7.58,bullish
2025-01-22 12:45:00-05:00,XAUUSD,15min,sell,2756.71,2748.59,8.12,-3.19,bearish
2025-01-23 07:00:00-05:00,XAUUSD,15min,sell,2748.59,2752.39,-3.8,-8.64,bearish
2025-01-23 14:00:00-05:00,XAUUSD,15min,buy,2752.39,2756.32,3.93,1.44,bullish
2025-01-23 15:15:00-05:00,XAUUSD,15min,buy,2756.32,2773.86,17.54,-4.91,bullish
2025-01-24 08:00:00-05:00,XAUUSD,15min,sell,2773.86,2779.89,-6.03,-10.51,bearish
2025-01-24 10:30:00-05:00,XAUUSD,15min,buy,2779.89,2780.91,1.02,-5.92,bullish
2025-01-24 12:15:00-05:00,XAUUSD,15min,sell,2780.91,2774.53,6.38,-5.0,bearish
2025-01-24 14:30:00-05:00,XAUUSD,15min,sell,2774.53,2755.13,19.4,-0.77,bearish
2025-01-27 05:45:00-05:00,XAUUSD,15min,buy,2755.13,2737.32,-17.81,-24.67,bullish
2025-01-27 15:45:00-05:00,XAUUSD,15min,sell,2737.32,2738.03,-0.71,-3.15,bearish
2025-01-27 17:00:00-05:00,XAUUSD,15min,buy,2738.03,2740.22,2.19,-2.98,bullish
2025-01-28 06:00:00-05:00,XAUUSD,15min,buy,2740.22,2751.77,11.55,0.88,bullish
2025-01-28 12:00:00-05:00,XAUUSD,15min,buy,2751.77,2761.26,9.49,2.33,bullish
2025-01-28 16:00:00-05:00,XAUUSD,15min,buy,2761.26,2760.27,-0.99,-3.84,bullish
2025-01-29 05:45:00-05:00,XAUUSD,15min,buy,2762.8,2757.89,-4.91,-10.49,bullish
2025-01-29 11:00:00-05:00,XAUUSD,15min,sell,2757.89,2775.81,-17.92,-21.37,bearish
2025-01-30 07:45:00-05:00,XAUUSD,15min,buy,2776.91,2782.45,5.54,-0.62,bullish
2025-01-30 11:15:00-05:00,XAUUSD,15min,buy,2782.45,2793.03,10.58,-2.26,bullish
2025-01-30 15:00:00-05:00,XAUUSD,15min,buy,2792.67,2795.33,2.66,-3.27,bullish
2025-01-31 08:30:00-05:00,XAUUSD,15min,sell,2795.33,2803.68,-8.35,-12.28,bearish
2025-01-31 10:00:00-05:00,XAUUSD,15min,buy,2803.68,2810.68,7.0,-0.36,bullish
2025-01-31 12:15:00-05:00,XAUUSD,15min,buy,2810.68,2798.44,-12.24,-16.48,bullish
2025-01-31 17:45:00-05:00,XAUUSD,15min,sell,2798.44,2795.45,2.99,-5.22,bearish
2025-02-03 05:45:00-05:00,XAUUSD,15min,buy,2795.45,2806.06,10.61,-2.37,bullish
2025-02-03 10:00:00-05:00,XAUUSD,15min,buy,2806.06,2816.64,10.58,1.91,bullish
2025-02-03 12:45:00-05:00,XAUUSD,15min,buy,2816.64,2813.98,-2.66,-9.34,bullish
2025-02-04 06:00:00-05:00,XAUUSD,15min,buy,2813.98,2818.3,4.32,-1.47,bullish
2025-02-04 09:30:00-05:00,XAUUSD,15min,buy,2818.3,2828.85,10.55,0.42,bullish
2025-02-04 10:45:00-05:00,XAUUSD,15min,buy,2828.85,2839.3,10.45,-0.08,bullish
2025-02-04 13:45:00-05:00,XAUUSD,15min,buy,2839.3,2864.4,25.1,-0.17,bullish
2025-02-05 05:30:00-05:00,XAUUSD,15min,buy,2864.4,2867.89,3.49,-5.88,bullish
2025-02-05 11:30:00-05:00,XAUUSD,15min,sell,2863.62,2870.47,-6.85,-18.72,bearish
2025-02-05 14:30:00-05:00,XAUUSD,15min,buy,2872.78,2865.66,-7.12,-12.84,bullish
2025-02-05 20:15:00-05:00,XAUUSD,15min,sell,2865.66,2857.61,8.05,-7.65,bearish
2025-02-06 06:45:00-05:00,XAUUSD,15min,sell,2857.61,2848.93,8.68,-12.33,bearish
2025-02-06 12:30:00-05:00,XAUUSD,15min,sell,2848.93,2866.73,-17.8,-21.77,bearish
2025-02-07 07:00:00-05:00,XAUUSD,15min,buy,2866.73,2859.31,-7.42,-14.42,bullish
2025-02-07 15:30:00-05:00,XAUUSD,15min,buy,2861.32,2890.56,29.24,-7.07,bullish
2025-02-10 04:45:00-05:00,XAUUSD,15min,buy,2890.56,2902.37,11.81,1.41,bullish
2025-02-10 09:45:00-05:00,XAUUSD,15min,sell,2902.37,2904.43,-2.06,-9.26,bearish
2025-02-10 15:45:00-05:00,XAUUSD,15min,buy,2904.43,2894.12,-10.31,-22.8,bullish
2025-02-11 10:45:00-05:00,XAUUSD,15min,sell,2894.12,2902.24,-8.12,-12.43,bearish
2025-02-11 13:00:00-05:00,XAUUSD,15min,buy,2902.24,2903.4,1.16,-2.52,bullish
2025-02-11 15:00:00-05:00,XAUUSD,15min,buy,2903.4,2888.53,-14.87,-19.94,bullish
2025-02-12 04:30:00-05:00,XAUUSD,15min,buy,2891.2,2880.86,-10.34,-27.17,bullish
2025-02-12 11:00:00-05:00,XAUUSD,15min,sell,2880.86,2887.61,-6.75,-17.05,bearish
2025-02-12 11:45:00-05:00,XAUUSD,15min,buy,2887.61,2895.7,8.09,-0.82,bullish
2025-02-12 14:30:00-05:00,XAUUSD,15min,buy,2899.75,2916.87,17.12,-6.08,bullish
2025-02-13 12:45:00-05:00,XAUUSD,15min,sell,2916.87,2883.68,33.19,-22.97,bearish
2025-02-16 20:00:00-05:00,XAUUSD,15min,sell,2883.68,2898.11,-14.43,-21.54,bearish
2025-02-17 05:45:00-05:00,XAUUSD,15min,buy,2898.11,2902.06,3.95,1.93,bullish
2025-02-17 06:30:00-05:00,XAUUSD,15min,buy,2902.06,2915.64,13.58,-9.93,bullish
2025-02-18 10:30:00-05:00,XAUUSD,15min,buy,2915.64,2929.73,14.09,1.76,bullish
2025-02-18 14:45:00-05:00,XAUUSD,15min,buy,2929.73,2934.28,4.55,-1.25,bullish
2025-02-18 17:15:00-05:00,XAUUSD,15min,buy,2934.28,2932.48,-1.8,-10.06,bullish
2025-02-19 04:30:00-05:00,XAUUSD,15min,buy,2932.48,2936.07,3.59,1.12,bullish
2025-02-19 05:45:00-05:00,XAUUSD,15min,buy,2936.07,2937.62,1.55,1.9,bullish
2025-02-19 06:00:00-05:00,XAUUSD,15min,buy,2937.62,2941.12,3.5,1.5,bullish
2025-02-19 08:30:00-05:00,XAUUSD,15min,buy,2941.12,2937.64,-3.48,-9.82,bullish
2025-02-19 10:15:00-05:00,XAUUSD,15min,sell,2937.64,2925.9,11.74,-3.9,bearish
2025-02-19 16:15:00-05:00,XAUUSD,15min,sell,2925.9,2950.97,-25.07,-28.9,bearish
2025-02-20 05:45:00-05:00,XAUUSD,15min,buy,2950.97,2941.15,-9.82,-26.62,bullish
2025-02-20 12:00:00-05:00,XAUUSD,15min,buy,2933.01,2940.93,7.92,-0.07,bullish
2025-02-20 13:45:00-05:00,XAUUSD,15min,buy,2940.93,2938.99,-1.94,-7.44,bullish
2025-02-20 18:15:00-05:00,XAUUSD,15min,sell,2938.99,2926.92,12.07,-10.51,bearish
2025-02-21 06:15:00-05:00,XAUUSD,15min,sell,2923.44,2938.3,-14.86,-19.43,bearish
2025-02-23 20:15:00-05:00,XAUUSD,15min,sell,2938.3,2943.54,-5.24,-10.21,bearish
2025-02-24 06:15:00-05:00,XAUUSD,15min,buy,2943.54,2945.36,1.82,-8.74,bullish
2025-02-24 09:30:00-05:00,XAUUSD,15min,buy,2945.36,2936.6,-8.76,-15.59,bullish
2025-02-25 06:00:00-05:00,XAUUSD,15min,buy,2936.6,2936.19,-0.41,-12.5,bullish
2025-02-25 10:45:00-05:00,XAUUSD,15min,sell,2932.2,2902.22,29.98,-12.56,bearish
2025-02-25 14:45:00-05:00,XAUUSD,15min,sell,2902.22,2905.03,-2.81,-10.01,bearish
2025-02-25 15:15:00-05:00,XAUUSD,15min,buy,2905.03,2909.84,4.81,0.44,bullish
2025-02-25 17:00:00-05:00,XAUUSD,15min,buy,2909.84,2914.09,4.25,-4.3,bullish
2025-02-26 04:15:00-05:00,XAUUSD,15min,sell,2909.38,2843.36,66.02,-11.49,bearish
2025-02-28 14:30:00-05:00,XAUUSD,15min,sell,2843.36,2864.76,-21.4,-33.77,bearish
2025-03-03 06:45:00-05:00,XAUUSD,15min,buy,2864.76,2890.49,25.73,2.26,bullish
2025-03-03 14:00:00-05:00,XAUUSD,15min,buy,2890.49,2909.38,18.89,-11.93,bullish
2025-03-04 05:45:00-05:00,XAUUSD,15min,buy,2909.38,2914.49,5.11,3.06,bullish
2025-03-04 07:15:00-05:00,XAUUSD,15min,buy,2914.49,2917.76,3.27,-2.46,bullish
2025-03-04 11:00:00-05:00,XAUUSD,15min,buy,2917.76,2913.51,-4.25,-17.56,bullish
2025-03-04 14:00:00-05:00,XAUUSD,15min,sell,2913.51,2914.95,-1.44,-6.69,bearish
2025-03-04 17:45:00-05:00,XAUUSD,15min,buy,2914.95,2915.18,0.23,-12.79,bullish
2025-03-05 03:15:00-05:00,XAUUSD,15min,buy,2915.18,2918.36,3.18,-2.23,bullish
2025-03-05 05:45:00-05:00,XAUUSD,15min,buy,2918.36,2907.76,-10.6,-24.07,bullish
2025-03-05 11:30:00-05:00,XAUUSD,15min,sell,2907.76,2907.68,0.08,-13.94,bearish
2025-03-05 12:00:00-05:00,XAUUSD,15min,buy,2907.68,2919.51,11.83,3.86,bullish
2025-03-05 17:15:00-05:00,XAUUSD,15min,buy,2919.51,2897.87,-21.64,-28.45,bullish
2025-03-06 07:45:00-05:00,XAUUSD,15min,buy,2897.87,2914.29,16.42,0.93,bullish
2025-03-06 14:45:00-05:00,XAUUSD,15min,buy,2914.29,2910.85,-3.44,-17.57,bullish
2025-03-07 03:45:00-05:00,XAUUSD,15min,buy,2910.85,2911.83,0.98,-14.15,bullish
2025-03-10 08:30:00-04:00,XAUUSD,15min,sell,2911.83,2903.93,7.9,-3.29,bearish
2025-03-10 08:45:00-04:00,XAUUSD,15min,buy,2910.34,2901.72,-8.62,-14.64,bullish
2025-03-10 12:15:00-04:00,XAUUSD,15min,buy,2901.72,2904.11,2.39,-3.85,bullish
2025-03-10 13:15:00-04:00,XAUUSD,15min,sell,2904.11,2889.06,15.05,-6.61,bearish
2025-03-10 19:45:00-04:00,XAUUSD,15min,sell,2889.06,2898.82,-9.76,-14.33,bearish
2025-03-11 06:45:00-04:00,XAUUSD,15min,buy,2898.82,2914.31,15.49,1.41,bullish
2025-03-11 13:00:00-04:00,XAUUSD,15min,buy,2914.31,2915.61,1.3,-5.4,bullish
2025-03-12 08:30:00-04:00,XAUUSD,15min,buy,2915.61,2917.52,1.91,-3.54,bullish
2025-03-12 11:45:00-04:00,XAUUSD,15min,sell,2917.52,2944.68,-27.16,-31.49,bearish
2025-03-13 09:00:00-04:00,XAUUSD,15min,buy,2944.68,2987.82,43.14,-5.62,bullish
2025-03-14 08:30:00-04:00,XAUUSD,15min,buy,2993.88,2997.61,3.73,3.53,bullish
2025-03-14 09:00:00-04:00,XAUUSD,15min,buy,2997.61,2995.22,-2.39,-10.85,bullish
2025-03-14 10:30:00-04:00,XAUUSD,15min,buy,2995.22,2986.01,-9.21,-16.94,bullish
2025-03-17 05:00:00-04:00,XAUUSD,15min,sell,2985.22,2987.34,-2.12,-5.45,bearish
2025-03-17 06:15:00-04:00,XAUUSD,15min,buy,2987.34,2995.49,8.15,-3.98,bullish
2025-03-17 13:30:00-04:00,XAUUSD,15min,sell,2995.49,2994.52,0.97,-4.8,bearish
2025-03-17 14:00:00-04:00,XAUUSD,15min,buy,2994.52,3018.65,24.13,-1.39,bullish
2025-03-18 08:15:00-04:00,XAUUSD,15min,buy,3021.68,3022.85,1.17,-3.37,bullish
2025-03-18 09:45:00-04:00,XAUUSD,15min,buy,3022.85,3032.43,9.58,-0.47,bullish
2025-03-18 12:15:00-04:00,XAUUSD,15min,buy,3032.43,3029.73,-2.7,-7.62,bullish
