time,open,high,low,close,tick_volume,spread,real_volume
2025-04-16 19:55:00,3324.44,3327.3,3324.44,3327.21,1263,22,0
2025-04-16 20:00:00,3327.24,3328.69,3325.41,3326.76,1547,22,0
2025-04-16 20:05:00,3326.76,3327.32,3325.21,3326.92,1196,27,0
2025-04-16 20:10:00,3326.93,3328.1,3326.34,3326.7,963,22,0
2025-04-16 20:15:00,3326.72,3329.43,3326.43,3328.8,1463,22,0
2025-04-16 20:20:00,3328.78,3329.74,3327.55,3329.11,1442,22,0
2025-04-16 20:25:00,3329.11,3330.17,3328.16,3329.81,1485,22,0
2025-04-16 20:30:00,3329.8,3329.97,3324.27,3329.74,2159,22,0
2025-04-16 20:35:00,3329.76,3332.68,3329.18,3330.99,1793,22,0
2025-04-16 20:40:00,3330.98,3330.99,3327.39,3330.0,1684,22,0
2025-04-16 20:45:00,3330.04,3330.05,3327.61,3328.88,1317,22,0
2025-04-16 20:50:00,3328.87,3329.15,3326.94,3328.35,1100,22,0
2025-04-16 20:55:00,3328.36,3329.0,3325.92,3327.48,1184,22,0
2025-04-16 21:00:00,3327.78,3332.22,3326.22,3332.04,1480,22,0
2025-04-16 21:05:00,3332.04,3332.75,3328.74,3328.78,1341,22,0
2025-04-16 21:10:00,3328.8,3332.11,3328.47,3332.11,1177,22,0
2025-04-16 21:15:00,3332.12,3332.93,3331.45,3331.81,816,23,0
2025-04-16 21:20:00,3331.8,3336.33,3331.69,3336.07,1207,22,0
2025-04-16 21:25:00,3336.06,3338.72,3335.95,3338.06,1421,22,0
2025-04-16 21:30:00,3338.08,3338.09,3336.18,3337.54,1057,22,0
2025-04-16 21:35:00,3337.51,3339.12,3336.51,3338.52,1063,22,0
2025-04-16 21:40:00,3338.45,3339.33,3337.3,3337.99,1022,21,0
2025-04-16 21:45:00,3338.0,3340.38,3337.95,3339.95,1075,21,0
2025-04-16 21:50:00,3339.95,3340.4,3337.35,3339.94,1159,21,0
2025-04-16 21:55:00,3339.86,3340.4,3336.81,3338.18,1268,21,0
2025-04-16 22:00:00,3338.18,3339.53,3337.08,3339.12,1205,24,0
2025-04-16 22:05:00,3339.34,3342.37,3339.23,3342.01,1504,21,0
2025-04-16 22:10:00,3342.02,3342.02,3337.98,3338.66,1545,21,0
2025-04-16 22:15:00,3338.66,3339.64,3337.81,3338.76,960,22,0
2025-04-16 22:20:00,3338.78,3340.84,3338.32,3339.93,1042,21,0
2025-04-16 22:25:00,3339.92,3340.96,3339.12,3339.36,903,22,0
2025-04-16 22:30:00,3339.35,3340.26,3338.6,3338.74,864,22,0
2025-04-16 22:35:00,3338.72,3339.74,3338.3,3339.13,965,22,0
2025-04-16 22:40:00,3339.13,3339.54,3336.51,3338.16,1032,22,0
2025-04-16 22:45:00,3338.16,3339.76,3336.99,3339.62,1029,22,0
2025-04-16 22:50:00,3339.59,3339.8,3337.12,3339.0,1058,22,0
2025-04-16 22:55:00,3338.98,3338.98,3335.76,3336.47,1507,21,0
