time,open,high,low,close,tick_volume,spread,real_volume
2025-04-09 18:10:00,1.27651,1.2766600000000001,1.2763,1.2764199999999999,638,7,0
2025-04-09 18:15:00,1.27643,1.27746,1.27641,1.27746,969,3,0
2025-04-09 18:20:00,1.27746,1.27797,1.2774,1.2776100000000001,645,7,0
2025-04-09 18:25:00,1.27762,1.27863,1.27749,1.2785199999999999,597,7,0
2025-04-09 18:30:00,1.27853,1.27862,1.27801,1.2784200000000001,792,0,0
2025-04-09 18:35:00,1.27841,1.27862,1.27762,1.27763,834,3,0
2025-04-09 18:40:00,1.27763,1.27763,1.27627,1.2764199999999999,839,5,0
2025-04-09 18:45:00,1.27643,1.27736,1.2763900000000001,1.2772000000000001,892,5,0
2025-04-09 18:50:00,1.2772000000000001,1.27756,1.27686,1.27698,799,4,0
2025-04-09 18:55:00,1.27699,1.27718,1.27647,1.27686,667,8,0
2025-04-09 19:00:00,1.2769,1.27697,1.27623,1.27636,736,5,0
2025-04-09 19:05:00,1.2763499999999999,1.2765,1.27585,1.27623,627,1,0
2025-04-09 19:10:00,1.27623,1.2776399999999999,1.27618,1.27741,763,3,0
2025-04-09 19:15:00,1.27742,1.27766,1.2772000000000001,1.2776399999999999,600,10,0
2025-04-09 19:20:00,1.27765,1.27785,1.27721,1.2772299999999999,529,7,0
2025-04-09 19:25:00,1.27724,1.27743,1.27672,1.27695,565,5,0
2025-04-09 19:30:00,1.27694,1.27702,1.27653,1.27702,549,8,0
2025-04-09 19:35:00,1.2770000000000001,1.27732,1.2768,1.27684,464,4,0
2025-04-09 19:40:00,1.27683,1.27733,1.27658,1.27692,625,7,0
2025-04-09 19:45:00,1.2769300000000001,1.27739,1.27663,1.2771,571,5,0
2025-04-09 19:50:00,1.27709,1.2772999999999999,1.27649,1.27673,733,5,0
2025-04-09 19:55:00,1.27673,1.27673,1.27591,1.27645,698,6,0
2025-04-09 20:00:00,1.27646,1.27745,1.27512,1.27626,2196,0,0
2025-04-09 20:05:00,1.27626,1.2763,1.27505,1.27508,1360,5,0
2025-04-09 20:10:00,1.27507,1.27582,1.2745199999999999,1.27573,900,3,0
2025-04-09 20:15:00,1.2757399999999999,1.27685,1.27516,1.27619,2316,0,0
2025-04-09 20:20:00,1.27619,1.27995,1.27619,1.27656,4361,0,0
2025-04-09 20:25:00,1.27655,1.27745,1.2742200000000001,1.27621,4023,0,0
2025-04-09 20:30:00,1.27622,1.27691,1.27444,1.27565,3317,0,0
2025-04-09 20:35:00,1.27566,1.27828,1.2756,1.2777,2677,4,0
2025-04-09 20:40:00,1.27772,1.27854,1.27722,1.27799,2487,4,0
2025-04-09 20:45:00,1.27798,1.28201,1.2778399999999999,1.2818,2781,0,0
2025-04-09 20:50:00,1.2818,1.28189,1.2797399999999999,1.27995,2443,0,0
2025-04-09 20:55:00,1.2799,1.28003,1.27866,1.27889,1995,0,0
2025-04-09 21:00:00,1.27887,1.27925,1.27668,1.27739,2106,0,0
2025-04-09 21:05:00,1.2774,1.27801,1.27435,1.27629,3331,2,0
2025-04-09 21:10:00,1.2763,1.27763,1.27552,1.27562,3259,0,0
2025-04-09 21:15:00,1.27565,1.27759,1.27542,1.27671,2612,0,0
2025-04-09 21:20:00,1.27676,1.27868,1.2766,1.27851,2366,0,0
2025-04-09 21:25:00,1.27851,1.28029,1.27827,1.28009,2463,0,0
2025-04-09 21:30:00,1.28003,1.28193,1.27999,1.28119,2188,0,0
2025-04-09 21:35:00,1.28122,1.28236,1.28122,1.28167,2278,1,0
2025-04-09 21:40:00,1.28168,1.28255,1.28108,1.28178,2107,4,0
2025-04-09 21:45:00,1.2818100000000001,1.28211,1.28063,1.28068,1913,2,0
2025-04-09 21:50:00,1.28073,1.2810000000000001,1.2794699999999999,1.2803,1563,0,0
2025-04-09 21:55:00,1.28029,1.28102,1.27993,1.28022,1640,0,0
2025-04-09 22:00:00,1.28022,1.2824200000000001,1.27986,1.28225,1357,4,0
2025-04-09 22:05:00,1.28225,1.28315,1.2822,1.28268,1555,5,0
2025-04-09 22:10:00,1.28268,1.28328,1.28223,1.28231,1380,5,0
2025-04-09 22:15:00,1.2823,1.2831000000000001,1.28196,1.28268,1358,6,0
2025-04-09 22:20:00,1.28267,1.28362,1.28265,1.2833999999999999,1367,5,0
2025-04-09 22:25:00,1.28341,1.2836,1.28248,1.28304,1434,2,0
2025-04-09 22:30:00,1.28304,1.28361,1.2818800000000001,1.2822,1534,1,0
2025-04-09 22:35:00,1.28217,1.28231,1.28023,1.28024,1551,7,0
2025-04-09 22:40:00,1.28024,1.28143,1.28012,1.28113,1617,4,0
2025-04-09 22:45:00,1.28115,1.28164,1.28067,1.28115,1579,4,0
2025-04-09 22:50:00,1.28115,1.28216,1.28115,1.28166,1346,6,0
2025-04-09 22:55:00,1.28167,1.28173,1.2802,1.28033,1372,2,0
