time,open,high,low,close,tick_volume,spread,real_volume,FVG_Up,FVG_Down,Bullish_OB,Bearish_OB,Buy_Signal,Sell_Signal
2025-04-16 17:00:00,1.32612,1.32661,1.32599,1.32647,850,7,0,False,False,True,False,False,False
2025-04-16 17:05:00,1.32647,1.3265799999999999,1.3247,1.3250899999999999,871,8,0,False,False,False,True,False,False
2025-04-16 17:10:00,1.3250899999999999,1.32532,1.32459,1.3249,523,6,0,False,False,False,False,False,False
2025-04-16 17:15:00,1.3249,1.32508,1.32403,1.3242099999999999,576,9,0,False,False,False,False,False,False
2025-04-16 17:20:00,1.32422,1.32477,1.3238699999999999,1.32468,707,10,0,False,False,True,False,False,False
2025-04-16 17:25:00,1.32468,1.32481,1.324,1.32471,683,10,0,False,False,False,False,False,False
2025-04-16 17:30:00,1.3247,1.32508,1.32397,1.32426,505,9,0,False,False,False,True,False,False
2025-04-16 17:35:00,1.32425,1.32463,1.32403,1.32457,502,11,0,False,False,True,False,False,False
2025-04-16 17:40:00,1.32455,1.32505,1.32434,1.32465,491,9,0,False,False,False,False,False,False
2025-04-16 17:45:00,1.32464,1.32586,1.32461,1.32578,660,9,0,False,False,False,False,False,False
2025-04-16 17:50:00,1.32577,1.3258,1.32528,1.3254299999999999,734,10,0,False,False,False,True,False,False
2025-04-16 17:55:00,1.3254299999999999,1.3256700000000001,1.32505,1.3256299999999999,1000,8,0,False,False,True,False,False,False
2025-04-16 18:00:00,1.32564,1.32584,1.32524,1.32545,751,7,0,False,False,False,True,False,False
2025-04-16 18:05:00,1.32546,1.32578,1.32484,1.32485,592,8,0,False,False,False,False,False,False
2025-04-16 18:10:00,1.32487,1.32504,1.3244500000000001,1.32453,486,6,0,False,False,False,False,False,False
2025-04-16 18:15:00,1.32455,1.32489,1.3241399999999999,1.3242,542,7,0,False,False,False,False,False,False
2025-04-16 18:20:00,1.3242099999999999,1.32433,1.32331,1.32333,672,9,0,False,False,False,False,False,False
2025-04-16 18:25:00,1.32334,1.3235000000000001,1.32306,1.32315,552,7,0,False,False,False,False,False,False
2025-04-16 18:30:00,1.32317,1.32364,1.32304,1.3235299999999999,498,10,0,False,False,True,False,False,False
2025-04-16 18:35:00,1.32354,1.32363,1.32252,1.32264,418,6,0,False,False,False,True,False,False
2025-04-16 18:40:00,1.32264,1.3239,1.32264,1.32386,460,10,0,False,False,True,False,False,False
2025-04-16 18:45:00,1.32385,1.3243800000000001,1.3237999999999999,1.32428,436,11,0,False,False,False,False,False,False
2025-04-16 18:50:00,1.32429,1.32464,1.32429,1.32452,457,8,0,False,False,False,False,False,False
2025-04-16 18:55:00,1.32452,1.32456,1.32422,1.32439,479,9,0,False,False,False,True,False,False
2025-04-16 19:00:00,1.3244,1.32465,1.32402,1.32449,566,8,0,False,False,True,False,False,False
2025-04-16 19:05:00,1.32451,1.3247,1.32428,1.3245,439,11,0,False,False,False,True,False,False
2025-04-16 19:10:00,1.3245,1.32452,1.3242,1.32433,305,12,0,False,False,False,False,False,False
2025-04-16 19:15:00,1.32433,1.32433,1.3237,1.32374,421,10,0,False,False,False,False,False,False
2025-04-16 19:20:00,1.32373,1.32374,1.32313,1.32366,339,9,0,False,False,False,False,False,False
2025-04-16 19:25:00,1.32366,1.3242,1.32347,1.32349,301,11,0,False,False,False,False,False,False
2025-04-16 19:30:00,1.3235000000000001,1.32417,1.32334,1.32415,314,10,0,False,False,True,False,False,False
2025-04-16 19:35:00,1.32415,1.32415,1.32355,1.3237999999999999,343,12,0,False,False,False,True,False,False
2025-04-16 19:40:00,1.3237999999999999,1.3239,1.3233,1.32334,349,10,0,False,False,False,False,False,False
2025-04-16 19:45:00,1.32334,1.32335,1.32306,1.32335,237,10,0,False,False,True,False,False,False
2025-04-16 19:50:00,1.32338,1.32338,1.32293,1.32334,175,8,0,False,False,False,True,False,False
2025-04-16 19:55:00,1.32334,1.32347,1.32304,1.32335,255,12,0,False,False,True,False,False,False
2025-04-16 20:00:00,1.32335,1.32335,1.32244,1.32263,425,10,0,False,False,False,True,False,False
2025-04-16 20:05:00,1.32261,1.32321,1.32261,1.32306,351,8,0,False,False,True,False,False,False
2025-04-16 20:10:00,1.32307,1.3233,1.32274,1.32274,391,8,0,False,False,False,True,False,False
2025-04-16 20:15:00,1.32273,1.32283,1.32251,1.32279,293,11,0,False,False,True,False,False,False
2025-04-16 20:20:00,1.3228,1.3229600000000001,1.32271,1.32294,236,13,0,False,False,False,False,False,False
2025-04-16 20:25:00,1.3228900000000001,1.32304,1.32273,1.32288,170,14,0,False,False,False,True,False,False
2025-04-16 20:30:00,1.3229,1.32359,1.32107,1.3231600000000001,974,4,0,False,False,True,False,False,False
2025-04-16 20:35:00,1.32313,1.32362,1.32287,1.32328,1017,4,0,False,False,False,False,False,False
2025-04-16 20:40:00,1.32328,1.32332,1.32251,1.32321,752,10,0,False,False,False,True,False,False
2025-04-16 20:45:00,1.3231899999999999,1.32373,1.32268,1.32314,884,5,0,False,False,False,False,False,False
2025-04-16 20:50:00,1.3231600000000001,1.3231899999999999,1.32214,1.32229,997,7,0,False,False,False,False,False,False
2025-04-16 20:55:00,1.3223,1.32245,1.32125,1.32165,1088,0,0,False,False,False,False,False,False
2025-04-16 21:00:00,1.32165,1.32248,1.32135,1.32247,859,9,0,False,False,True,False,False,False
2025-04-16 21:05:00,1.32248,1.3226,1.32187,1.32205,581,9,0,False,False,False,True,False,False
2025-04-16 21:10:00,1.32202,1.32225,1.32128,1.32215,466,8,0,False,False,True,False,False,False
2025-04-16 21:15:00,1.32214,1.32275,1.32207,1.32236,530,7,0,False,False,False,False,False,False
2025-04-16 21:20:00,1.32236,1.32248,1.32203,1.32226,563,10,0,False,False,False,True,False,False
2025-04-16 21:25:00,1.32226,1.32247,1.32203,1.3221,401,11,0,False,False,False,False,False,False
2025-04-16 21:30:00,1.3221,1.32257,1.32186,1.32249,389,7,0,False,False,True,False,False,False
2025-04-16 21:35:00,1.32249,1.32271,1.32222,1.3227,385,12,0,False,False,False,False,False,False
2025-04-16 21:40:00,1.32268,1.3227,1.32189,1.32195,486,11,0,False,False,False,True,False,False
2025-04-16 21:45:00,1.32193,1.3223099999999999,1.32176,1.32226,374,10,0,False,False,True,False,False,False
2025-04-16 21:50:00,1.32226,1.32294,1.32225,1.32264,437,10,0,False,False,False,False,False,False
2025-04-16 21:55:00,1.32263,1.32311,1.3225500000000001,1.3229600000000001,500,4,0,False,False,False,False,False,False
2025-04-16 22:00:00,1.32294,1.32361,1.32277,1.3235299999999999,460,8,0,False,False,False,False,False,False
2025-04-16 22:05:00,1.32354,1.32402,1.32349,1.32378,475,11,0,False,False,False,False,False,False
2025-04-16 22:10:00,1.32378,1.32405,1.32365,1.32385,393,10,0,False,False,False,False,False,False
2025-04-16 22:15:00,1.32385,1.32431,1.32371,1.32422,362,8,0,False,False,False,False,False,False
2025-04-16 22:20:00,1.32422,1.32461,1.32412,1.32456,467,10,0,False,False,False,False,False,False
2025-04-16 22:25:00,1.32454,1.32497,1.32399,1.32399,657,5,0,False,False,False,True,False,False
2025-04-16 22:30:00,1.32397,1.32404,1.32335,1.32336,623,11,0,False,False,False,False,False,False
2025-04-16 22:35:00,1.32335,1.32383,1.3232599999999999,1.32382,489,11,0,False,False,True,False,False,False
2025-04-16 22:40:00,1.32383,1.32412,1.32362,1.32389,513,7,0,False,False,False,False,False,False
2025-04-16 22:45:00,1.32392,1.32401,1.32361,1.32395,341,10,0,False,False,False,False,False,False
2025-04-16 22:50:00,1.32394,1.32405,1.32372,1.32401,357,14,0,False,False,False,False,False,False
2025-04-16 22:55:00,1.32403,1.3241,1.32364,1.32364,436,8,0,False,False,False,True,False,False
